emp_id,birth_date,first_name,last_name,gender,hire_date
1,1953-09-02,Georgi,Facello,M,1986-06-26
2,1964-06-02,Bezalel,Simmel,F,1985-11-21
3,1959-12-03,Parto,Bamford,M,1986-08-28
4,1954-05-01,Chirstian,Koblick,M,1986-12-01
5,1955-01-21,Kyoichi,Maliniak,M,1989-09-12
6,1953-04-20,Anneke,Preusig,F,1989-06-02
7,1957-05-23,Tzvetan,Zielinski,F,1989-02-10
8,1958-02-19,Saniya,Kalloufi,M,1994-09-15
9,1952-04-19,Sumant,Peac,F,1985-02-18
10,1963-06-01,Duangkaew,Piveteau,F,1989-08-24
11,1953-11-07,Mary,Sluis,F,1990-01-22
12,1960-10-04,Patricio,Bridgland,M,1992-12-18
13,1963-06-07,Eberhardt,Terkki,M,1985-10-20
14,1956-02-12,Berni,Genin,M,1987-03-11
15,1959-08-19,Guoxiang,Nooteboom,M,1987-07-02
16,1961-05-02,Kazuhito,Cappelletti,M,1995-01-27
17,1958-07-06,Cristinel,Bouloucos,F,1993-08-03
18,1954-06-19,Kazuhide,Peha,F,1987-04-03
19,1953-01-23,Lillian,Haddadi,M,1999-04-30
20,1952-12-24,Mayuko,Warwick,M,1991-01-26
21,1960-02-20,Ramzi,Erde,M,1988-02-10
22,1952-07-08,Shahaf,Famili,M,1995-08-22
23,1953-09-29,Bojan,Montemayor,F,1989-12-17
24,1958-09-05,Suzette,Pettey,F,1997-05-19
25,1958-10-31,Prasadram,Heyers,M,1987-08-17
26,1953-04-03,Yongqiao,Berztiss,M,1995-03-20
27,1962-07-10,Divier,Reistad,F,1989-07-07
28,1963-11-26,Domenick,Tempesti,M,1991-10-22
29,1956-12-13,Otmar,Herbst,M,1985-11-20
30,1958-07-14,Elvis,Demeyer,M,1994-02-17
31,1959-01-27,Karsten,Joslin,M,1991-09-01
32,1960-08-09,Jeong,Reistad,F,1990-06-20
33,1956-11-14,Arif,Merlo,M,1987-03-18
34,1962-12-29,Bader,Swan,M,1988-09-21
35,1953-02-08,Alain,Chappelet,M,1988-09-05
36,1959-08-10,Adamantios,Portugali,M,1992-01-03
37,1963-07-22,Pradeep,Makrucki,M,1990-12-05
38,1960-07-20,Huan,Lortz,M,1989-09-20
39,1959-10-01,Alejandro,Brender,M,1988-01-19
40,1959-09-13,Weiyi,Meriste,F,1993-02-14
41,1959-08-27,Uri,Lenart,F,1989-11-12
42,1956-02-26,Magy,Stamatiou,F,1993-03-21
43,1960-09-19,Yishay,Tzvieli,M,1990-10-20
44,1961-09-21,Mingsen,Casley,F,1994-05-21
45,1957-08-14,Moss,Shanbhogue,M,1989-09-02
