Row ID,Customer ID,Customer Name,Segment,Country,City,State,Sales
1,DB-13060,Dave Brooks,Consumer,Myanmar,Yangon,Yangon,457.568
2,HR-14770,Hallie Redmond,Home Office,Myanmar,Magway City,Magway,5.94
3,QJ-19255,Quincy Jones,Corporate,Myanmar,Kanbalu,Sagaing,138.56
4,DW-13480,Dianna Wilson,Home Office,Myanmar,Kawthoung,Tanintharyi,2001.86
5,DW-13480,Dianna Wilson,Home Office,Myanmar,Kawthoung,Tanintharyi,1503.25
6,DW-13480,Dianna Wilson,Home Office,Myanmar,Kawthoung,Tanintharyi,166.72
7,QJ-19255,Quincy Jones,Corporate,Myanmar,Kanbalu,Sagaing,65.52
8,DW-13480,Dianna Wilson,Home Office,Myanmar,Kawthoung,Tanintharyi,47.88
9,DW-13480,Dianna Wilson,Home Office,Myanmar,Kawthoung,Tanintharyi,25.92
10,Dl-13600,Dorris liebe,Corporate,Myanmar,Pyay,Bago,19.92
11,LH-16900,Lena Hernandez,Consumer,Myanmar,Pyay,Bago,357
12,LH-16900,Lena Hernandez,Consumer,Myanmar,Magway City,Magway,23.744
13,DL-12925,Daniel Lacy,Consumer,Myanmar,Chauk,Magway,533.94
14,DL-12925,Daniel Lacy,Consumer,Myanmar,Chauk,Magway,167.94
15,DL-12925,Daniel Lacy,Consumer,Myanmar,Chauk,Magway,31.68
16,KN-16705,Kristina Nunn,Home Office,Myanmar,Magway City,Magway,36.4
17,KN-16705,Kristina Nunn,Home Office,Myanmar,Magway City,Magway,11.36
18,CS-11860,Cari Schnelling,Consumer,Myanmar,Taikkyi,Yangon,479.984
19,KD-16345,Katherine Ducich,Consumer,Myanmar,Magway City,Magway,57.75
20,CL-12565,Clay Ludtke,Consumer,Myanmar,Magway City,Magway,21.24
21,KD-16345,Katherine Ducich,Consumer,Myanmar,Magway City,Magway,14.94
22,SW-20755,Steven Ward,Corporate,Myanmar,Yangon,Yangon,41.94
23,RD-19720,Roger Demir,Consumer,Myanmar,Pathein,Ayeyarwady,89.34
24,SW-20755,Steven Ward,Corporate,Myanmar,Yangon,Yangon,52.792
25,RD-19720,Roger Demir,Consumer,Myanmar,Magway City,Magway,34.86
26,DP-13165,David Philippe,Consumer,Myanmar,Myeik,Tanintharyi,883.92
27,DP-13165,David Philippe,Consumer,Myanmar,Taungoo,Bago,119.96
28,DP-13165,David Philippe,Consumer,Myanmar,Magway City,Magway,46.72
29,TB-21400,Tom Boeckenhauer,Consumer,Myanmar,Pyay,Bago,13.272
30,TB-21400,Tom Boeckenhauer,Consumer,Myanmar,Yangon,Yangon,83.84
31,AP-10720,Anne Pryor,Home Office,Myanmar,Taungoo,Bago,125.76
32,AP-10720,Anne Pryor,Home Office,Myanmar,Magway City,Magway,25.32
33,AP-10720,Anne Pryor,Home Office,Myanmar,Magway City,Magway,9.99
34,NC-18415,Nathan Cano,Consumer,Myanmar,Pakokku,Magway,40.176
35,NC-18415,Nathan Cano,Consumer,Myanmar,Pakokku,Magway,10.896
36,SC-20725,Steven Cartwright,Consumer,Myanmar,Yangon,Yangon,515.88
37,BK-11260,Berenike Kampe,Consumer,Myanmar,Pathein,Ayeyarwady,102.3
